State/Region,Category,Organization,Website,Thesis & Details
National,2) Angels,The Helm,https://thehelm.co,"Early-stage fund + angel syndicate investing in female-founded companies. Investor membership model."
National,3) Women Funds,How Women Invest,https://howwomeninvest.com,"Julie Castro Abrams. 100% women-led team (50% WOC). Health and Future of Work."
National,3) Women Funds,Serena Ventures,https://serenaventures.com,"Serena Williams. 79% underrepresented founders. 16 unicorns. $111M."
National,3) Women Funds,Operator Collective,https://operatorcollective.com,"Mallun Yen. 200+ operator LPs (90% women). $92M Fund II. B2B enterprise."
National,3) Women Funds,SoGal Ventures,https://sogalventures.com,"Pocket Sun. First female-led millennial VC. US and Asia cross-border."
National,3) Women Funds,January Ventures,https://januaryventures.com,"No warm intros required. $25K-$150K. Future of work, healthcare, commerce."
National,3) Women Funds,GingerBread Capital,https://gingerbreadcap.com,"Linnea Roberts. $50M fund. Female founders AND LP in 25+ women-led funds."
National,3) Women Funds,Backstage Capital,https://backstagecapital.com,"Arlan Hamilton. ~$20M in ~200 companies. Women, POC, LGBTQ founders."
National,3) Women Funds,Chloe Capital,https://chloecapital.com,"Elisa Miller-Out. Seed $100K-$250K. Bank of America partner."
National,3) Women Funds,Mindshift Capital,https://mindshiftcapital.com,"Marcia Dawood. Post-seed early-stage gender lens investing."
National,3) Women Funds,Women's VC Fund,https://womensvcfund.com,"Edith Dorsen. First US VC for Series A gender-inclusive leadership."
National,3) Women Funds,Alumni Ventures Women's Fund,https://av.vc/funds/womens,"Laura Rippy. 15-20 investments per fund. Low minimums for accredited investors."
National,3) Women Funds,Hypatia Capital,https://hypatiacapital.com,"Patricia Lizarraga. Women CEO ETF (NYSE: WCEO)."
National,4) Syndicates,She Angel Investors,https://sheangelinvestors.com,"Catherine Gray. Platform + Invest in Her podcast + community."
National,4) Syndicates,Brydge Club,https://brydgeclub.com,"Ruffin Mitchener. Bridges women VCs and female founders. Pre-seed/seed."
National,4) Syndicates,Gaingels,https://gaingels.com,"LGBTQ+ investor community. $850M+ deployed into 2,000+ companies."
National,1) Education,Stella Foundation,https://stella.co,"Women's Venture Summit (11 years). $200M+ facilitated."
National,1) Education,Catalyst Angel Program,https://techtowndetroit.org,"TechTown Detroit. Trains women, Black, Latinx to become angels."
National,1) Education,University Angel Groups,https://universityangels.org,"Association of 30+ university angel groups. Launched 2024."
National,1) Education,Women With Capital,https://womenwithcapital.com,"Barbara Pierce. Members moved $150M+ into impact investments."
National,5) Crowdfunding,Black Girl Ventures,https://blackgirlventures.org,"Shelly Omilade Bell. Pitch competitions for Black/Brown women founders."
National,3) Women Funds,New Voices Fund,https://newvoicesfund.com,"Richelieu Dennis. $100M fund for women of color entrepreneurs."
National,3) Women Funds,Cleo Capital,https://cleocapital.com,"Sarah Kunst. Early-stage for women and underrepresented founders."
National,3) Women Funds,Recast Capital,https://recastcapital.com,"Courtney McCrea. Fund-of-funds for emerging women fund managers."
National,3) Women Funds,The Case for Her,https://thecaseforher.com,"Fund-of-funds investing in women-led VC funds. 34+ women's health cos."
National,6) Micro-Funds,Grameen America,https://grameenamerica.org,"Microloans for women entrepreneurs. No credit/collateral required."
National,6) Micro-Funds,Women's Venture Fund,https://womensventurefund.org,"CDFI for women entrepreneurs in New York."
National,3) Women Funds,Rhia Ventures,https://rhiaventures.org,"Reproductive and maternal health. Racial and gender equity focus."
National,3) Women Funds,WovenEarth Ventures,https://wovenearth.com,"Jane Woodward. $152M climate tech fund-of-funds. All-women team."
National,3) Women Funds,Voyager Ventures,https://voyagervc.com,"Sierra Peterson. $200M decarbonization. Mobility, energy, food."
National,7) Corporate,HearstLab,https://hearstlab.com,"Eve Burton. 80+ investments. $2.5B portfolio value. $500K-$1M checks."
National,7) Corporate,Amazon Climate Pledge Female Founders,https://fund.theclimatepledge.com,"$53M for women-led climate tech companies."
National,7) Corporate,Bumble Fund,https://thebeehive.bumble.com,"Early-stage investments in businesses founded by women of color."
National,3) Women Funds,Ally Capital Collab,https://allycollab.com,"4 BIPOC female-led funds collaborating. Pre-Seed to Early Growth."
National,4) Syndicates,StartOut,https://startout.org,"LGBTQ+ founder connector. Economic empowerment nonprofit."
National,3) Women Funds,The Pride Fund,https://pride.vc,"LGBTQI+/queer ventures underserved in venture capital."
